"gene_id","rank"
"ENSG00000134242.16",107
"ENSG00000134259.6",108
"ENSG00000163393.13",109
"ENSG00000116824.5",110
"ENSG00000134258.18",111
"ENSG00000183508.5",112
"ENSG00000227712.3",113
"ENSG00000227082.3",114
"ENSG00000117281.16",115
"ENSG00000237188.5",116
"ENSG00000131781.13",117
"ENSG00000265107.3",118
"ENSG00000163131.12",119
"ENSG00000237975.7",120
"ENSG00000197956.10",121
"ENSG00000196154.12",122
"ENSG00000287064.1",123
"ENSG00000143603.19",124
"ENSG00000143297.19",125
"ENSG00000160856.21",126
"ENSG00000132704.16",127
"ENSG00000163534.15",128
"ENSG00000073754.6",129
"ENSG00000183853.18",130
"ENSG00000163563.8",131
"ENSG00000163564.15",132
"ENSG00000163565.20",133
"ENSG00000228560.1",134
"ENSG00000289484.1",135
"ENSG00000132693.12",136
"ENSG00000018625.15",137
"ENSG00000162739.14",138
"ENSG00000234425.1",139
"ENSG00000066294.15",140
"ENSG00000117091.10",141
"ENSG00000026751.17",142
"ENSG00000122223.13",143
"ENSG00000203747.13",144
"ENSG00000289768.1",145
"ENSG00000072694.22",146
"ENSG00000162745.11",147
"ENSG00000198929.13",148
"ENSG00000117143.14",149
"ENSG00000143248.13",150
"ENSG00000185630.20",151
"ENSG00000229588.3",152
"ENSG00000198821.12",153
"ENSG00000198771.11",154
"ENSG00000285622.2",155
"ENSG00000188404.10",156
"ENSG00000231407.6",157
"ENSG00000116132.12",158
"ENSG00000231424.3",159
"ENSG00000117501.15",160
"ENSG00000094963.14",161
"ENSG00000197959.15",162
"ENSG00000230630.5",163
"ENSG00000224228.2",164
"ENSG00000235750.10",165
"ENSG00000116147.17",166
"ENSG00000116183.11",167
"ENSG00000152092.16",168
"ENSG00000224968.4",169
"ENSG00000075391.18",170
"ENSG00000162779.22",171
"ENSG00000143340.7",172
"ENSG00000116260.17",173
"ENSG00000228918.5",174
"ENSG00000135821.19",175
"ENSG00000135838.14",176
"ENSG00000135862.6",177
"ENSG00000058085.15",178
"ENSG00000143344.16",179
"ENSG00000116667.15",180
"ENSG00000135842.17",181
"ENSG00000143341.12",182
"ENSG00000116711.10",183
"ENSG00000230426.5",184
"ENSG00000150681.10",185
"ENSG00000285280.2",186
"ENSG00000090104.12",187
"ENSG00000227240.2",188
"ENSG00000162687.19",189
"ENSG00000289697.1",190
"ENSG00000134365.15",191
"ENSG00000066279.19",192
"ENSG00000134376.17",193
"ENSG00000081237.21",194
"ENSG00000229989.6",195
"ENSG00000118193.12",196
"ENSG00000134369.16",197
"ENSG00000163431.13",198
"ENSG00000133067.18",199
"ENSG00000133048.13",200
"ENSG00000058668.16",201
"ENSG00000170382.12",202
"ENSG00000163531.17",203
"ENSG00000285417.1",204
"ENSG00000263961.8",205
"ENSG00000266028.8",206
"ENSG00000196352.18",207
"ENSG00000203710.12",208
"ENSG00000197721.17",209
"ENSG00000174059.17",210
"ENSG00000009790.15",211
"ENSG00000143476.18",212
"ENSG00000226251.8",213
"ENSG00000228255.1",214
"ENSG00000230461.10",215
"ENSG00000283518.1",216
"ENSG00000152104.12",217
"ENSG00000117724.14",218
"ENSG00000196482.18",219
"ENSG00000162814.11",220
"ENSG00000092969.12",221
"ENSG00000228063.4",222
"ENSG00000116141.17",223
"ENSG00000143507.18",224
"ENSG00000238042.5",225
"ENSG00000236230.2",226
"ENSG00000287684.1",227
"ENSG00000154380.19",228
"ENSG00000227496.3",229
"ENSG00000287627.1",230
"ENSG00000203685.11",231
"ENSG00000143772.11",232
"ENSG00000162946.23",233
"ENSG00000286071.3",234
"ENSG00000116991.12",235
"ENSG00000135749.19",236
"ENSG00000143674.11",237
"ENSG00000135750.15",238
"ENSG00000183780.13",239
"ENSG00000168243.11",240
"ENSG00000198626.18",241
"ENSG00000234464.2",242
"ENSG00000133019.12",243
"ENSG00000233355.7",244
"ENSG00000180875.5",245
"ENSG00000182901.18",246
"ENSG00000287738.1",247
"ENSG00000117009.12",248
"ENSG00000288723.1",249
"ENSG00000180287.17",250
"ENSG00000289439.2",251
"ENSG00000162849.16",252
"ENSG00000196418.13",253
"ENSG00000235749.3",254
"ENSG00000035115.22",255
"ENSG00000172554.12",256
"ENSG00000130508.11",257
"ENSG00000118004.18",258
"ENSG00000151360.10",259
"ENSG00000214866.9",260
"ENSG00000151692.15",261
"ENSG00000236790.7",262
"ENSG00000143797.12",263
"ENSG00000151693.11",264
"ENSG00000134317.18",265
"ENSG00000224184.7",266
"ENSG00000285876.1",267
"ENSG00000230448.5",268
"ENSG00000162981.14",269
"ENSG00000287291.1",270
"ENSG00000197872.11",271
"ENSG00000170745.12",272
"ENSG00000287881.1",273
"ENSG00000227210.2",274
"ENSG00000218819.6",275
"ENSG00000233005.2",276
"ENSG00000228999.4",277
"ENSG00000232451.2",278
"ENSG00000119771.15",279
"ENSG00000138031.15",280
"ENSG00000189350.13",281
"ENSG00000213626.13",282
"ENSG00000158089.15",283
"ENSG00000013016.16",284
"ENSG00000158125.10",285
"ENSG00000049323.16",286
"ENSG00000152689.18",287
"ENSG00000286415.1",288
"ENSG00000228262.11",289
"ENSG00000272027.2",290
"ENSG00000232153.3",291
"ENSG00000226994.9",292
"ENSG00000150938.10",293
"ENSG00000115828.17",294
"ENSG00000138061.12",295
"ENSG00000227028.6",296
"ENSG00000183023.19",297
"ENSG00000287255.3",298
"ENSG00000231826.9",299
"ENSG00000152527.14",300
"ENSG00000116016.14",301
"ENSG00000234690.7",302
"ENSG00000236824.2",303
