"gene_id","avg_rank"
"ENSG00000228980",602.6
"ENSG00000242029",603.6
"ENSG00000153283",605
"ENSG00000171608",605.4
"ENSG00000091972",607.2
"ENSG00000072858",611.2
"ENSG00000185565",614.4
"ENSG00000169504",615.8
"ENSG00000031081",617.6
"ENSG00000163430",619.2
"ENSG00000130775",620
"ENSG00000051341",620.6
"ENSG00000180353",621.8
"ENSG00000114013",623.4
"ENSG00000173175",625.6
"ENSG00000160145",626.6
"ENSG00000127124",627.8
"ENSG00000173706",628
"ENSG00000162383",632.8
"ENSG00000248724",635
"ENSG00000144868",636
"ENSG00000231252",639
"ENSG00000174640",639
"ENSG00000158258",642.2
"ENSG00000116678",643.6
"ENSG00000069849",644
"ENSG00000181804",647.4
"ENSG00000116761",650
"ENSG00000169908",655
"ENSG00000169903",656
"ENSG00000018408",657
"ENSG00000174944",662.2
"ENSG00000171502",664.6
"ENSG00000117525",673.2
"ENSG00000226026",674
"ENSG00000085276",679.6
"ENSG00000162636",681
"ENSG00000144959",684.4
"ENSG00000134259",685.8
"ENSG00000169760",686.2
"ENSG00000223715",687.4
"ENSG00000231574",688.4
"ENSG00000116824",690.4
"ENSG00000237978",690.6
"ENSG00000134258",691.2
"ENSG00000134240",692.4
"ENSG00000114450",692.6
"ENSG00000227082",694.6
"ENSG00000242808",694.8
"ENSG00000265972",695
"ENSG00000176597",696.8
"ENSG00000131781",697.8
"ENSG00000237975",697.8
"ENSG00000172578",697.8
"ENSG00000073792",701
"ENSG00000160789",702.6
"ENSG00000058866",702.6
"ENSG00000196189",703.4
"ENSG00000073754",705.6
"ENSG00000073282",706.2
"ENSG00000090530",707.2
"ENSG00000163563",707.6
"ENSG00000132693",709
"ENSG00000228560",710
"ENSG00000114279",710.6
"ENSG00000180611",712
"ENSG00000127249",713.2
"ENSG00000158859",716.4
"ENSG00000026751",717.2
"ENSG00000143248",722.2
"ENSG00000249631",725.4
"ENSG00000249988",727.4
"ENSG00000116132",729
"ENSG00000004468",730
