"gene_id","rank"
"ENSG00000142611",1
"ENSG00000069424",2
"ENSG00000162426",3
"ENSG00000171621",4
"ENSG00000284693",5
"ENSG00000171608",6
"ENSG00000162493",7
"ENSG00000189337",8
"ENSG00000171729",9
"ENSG00000142634",10
"ENSG00000159339",11
"ENSG00000117154",12
"ENSG00000169991",13
"ENSG00000188257",14
"ENSG00000127472",15
"ENSG00000142798",16
"ENSG00000173369",17
"ENSG00000007968",18
"ENSG00000197880",19
"ENSG00000169504",20
"ENSG00000020633",21
"ENSG00000142748",22
"ENSG00000000938",23
"ENSG00000130775",24
"ENSG00000162511",25
"ENSG00000162512",26
"ENSG00000284543",27
"ENSG00000182866",28
"ENSG00000287703",29
"ENSG00000092853",30
"ENSG00000119535",31
"ENSG00000228436",32
"ENSG00000127124",33
"ENSG00000186409",34
"ENSG00000243710",35
"ENSG00000162415",36
"ENSG00000117461",37
"ENSG00000162367",38
"ENSG00000123473",39
"ENSG00000223720",40
"ENSG00000132122",41
"ENSG00000186094",42
"ENSG00000203995",43
"ENSG00000162383",44
"ENSG00000234810",45
"ENSG00000260971",46
"ENSG00000162409",47
"ENSG00000173406",48
"ENSG00000231252",49
"ENSG00000235545",50
"ENSG00000185483",51
"ENSG00000158966",52
"ENSG00000162437",53
"ENSG00000116675",54
"ENSG00000116678",55
"ENSG00000184588",56
"ENSG00000118473",57
"ENSG00000116729",58
"ENSG00000116761",59
"ENSG00000050628",60
"ENSG00000229956",61
"ENSG00000172260",62
"ENSG00000286863",63
"ENSG00000162620",64
"ENSG00000178965",65
"ENSG00000137968",66
"ENSG00000184005",67
"ENSG00000162614",68
"ENSG00000122420",69
"ENSG00000137959",70
"ENSG00000137965",71
"ENSG00000162618",72
"ENSG00000117114",73
"ENSG00000230817",74
"ENSG00000233008",75
"ENSG00000285201",76
"ENSG00000153898",77
"ENSG00000142871",78
"ENSG00000171502",79
"ENSG00000236915",80
"ENSG00000267272",81
"ENSG00000237505",82
"ENSG00000154451",83
