"gene_id","rank"
"ENSG00000142611",1
"ENSG00000196581",2
"ENSG00000069424",3
"ENSG00000116251",4
"ENSG00000162426",5
"ENSG00000142583",6
"ENSG00000171621",7
"ENSG00000284693",8
"ENSG00000171608",9
"ENSG00000162493",10
"ENSG00000189337",11
"ENSG00000231606",12
"ENSG00000171729",13
"ENSG00000117115",14
"ENSG00000159339",15
"ENSG00000117154",16
"ENSG00000179002",17
"ENSG00000188257",18
"ENSG00000127472",19
"ENSG00000142798",20
"ENSG00000173372",21
"ENSG00000159189",22
"ENSG00000173369",23
"ENSG00000133216",24
"ENSG00000117318",25
"ENSG00000142676",26
"ENSG00000169504",27
"ENSG00000020633",28
"ENSG00000142748",29
"ENSG00000000938",30
"ENSG00000286433",31
"ENSG00000130775",32
"ENSG00000130770",33
"ENSG00000188060",34
"ENSG00000162511",35
"ENSG00000162512",36
"ENSG00000142910",37
"ENSG00000121904",38
"ENSG00000187513",39
"ENSG00000092853",40
"ENSG00000119535",41
"ENSG00000134690",42
"ENSG00000228436",43
"ENSG00000158315",44
"ENSG00000116990",45
"ENSG00000084070",46
"ENSG00000127124",47
"ENSG00000142945",48
"ENSG00000142937",49
"ENSG00000117450",50
"ENSG00000117461",51
"ENSG00000085999",52
"ENSG00000162367",53
"ENSG00000123473",54
"ENSG00000269113",55
"ENSG00000186094",56
"ENSG00000203995",57
"ENSG00000162391",58
"ENSG00000234810",59
"ENSG00000260971",60
"ENSG00000223956",61
"ENSG00000162407",62
"ENSG00000237352",63
"ENSG00000226476",64
"ENSG00000271200",65
"ENSG00000132855",66
"ENSG00000185483",67
"ENSG00000158966",68
"ENSG00000162437",69
"ENSG00000184588",70
"ENSG00000118473",71
"ENSG00000116761",72
"ENSG00000050628",73
"ENSG00000229956",74
"ENSG00000172260",75
"ENSG00000137968",76
"ENSG00000184005",77
"ENSG00000162614",78
"ENSG00000137959",79
"ENSG00000137965",80
"ENSG00000162618",81
"ENSG00000117114",82
"ENSG00000234953",83
"ENSG00000171517",84
"ENSG00000153898",85
"ENSG00000055732",86
"ENSG00000142871",87
"ENSG00000236915",88
"ENSG00000237505",89
"ENSG00000117228",90
"ENSG00000162645",91
"ENSG00000154451",92
"ENSG00000237568",93
"ENSG00000171488",94
"ENSG00000287406",95
"ENSG00000137962",96
"ENSG00000117525",97
"ENSG00000226026",98
"ENSG00000099260",99
"ENSG00000079335",100
"ENSG00000162692",101
"ENSG00000134215",102
"ENSG00000162636",103
"ENSG00000134243",104
"ENSG00000134184",105
"ENSG00000143119",106
"ENSG00000231246",107
"ENSG00000143079",108
"ENSG00000081026",109
"ENSG00000134242",110
"ENSG00000134198",111
"ENSG00000228035",112
"ENSG00000163393",113
"ENSG00000173212",114
"ENSG00000143061",115
"ENSG00000116824",116
"ENSG00000134258",117
"ENSG00000183508",118
"ENSG00000134240",119
"ENSG00000198019",120
"ENSG00000227082",121
"ENSG00000196369",122
"ENSG00000265972",123
"ENSG00000237188",124
"ENSG00000131781",125
"ENSG00000265107",126
"ENSG00000229021",127
"ENSG00000159450",128
"ENSG00000237975",129
"ENSG00000163220",130
"ENSG00000163221",131
"ENSG00000143546",132
"ENSG00000197956",133
"ENSG00000177954",134
"ENSG00000287064",135
"ENSG00000143603",136
"ENSG00000143627",137
"ENSG00000160789",138
"ENSG00000196189",139
"ENSG00000183856",140
"ENSG00000132688",141
"ENSG00000160856",142
"ENSG00000163534",143
"ENSG00000073754",144
"ENSG00000183853",145
"ENSG00000158481",146
"ENSG00000163563",147
"ENSG00000163564",148
"ENSG00000163565",149
"ENSG00000163568",150
"ENSG00000228560",151
"ENSG00000066294",152
"ENSG00000117090",153
"ENSG00000117091",154
"ENSG00000026751",155
"ENSG00000158859",156
"ENSG00000158869",157
"ENSG00000158874",158
"ENSG00000248485",159
"ENSG00000143226",160
"ENSG00000173110",161
"ENSG00000203747",162
"ENSG00000072694",163
"ENSG00000198574",164
"ENSG00000117143",165
"ENSG00000143248",166
"ENSG00000185630",167
"ENSG00000143194",168
"ENSG00000198821",169
"ENSG00000198771",170
"ENSG00000117479",171
"ENSG00000116132",172
"ENSG00000231424",173
"ENSG00000117501",174
"ENSG00000007933",175
"ENSG00000283683",176
"ENSG00000197959",177
