"gene_id","rank"
"ENSG00000187608.10",1
"ENSG00000069424.16",2
"ENSG00000227634.3",3
"ENSG00000171621.14",4
"ENSG00000284693.2",5
"ENSG00000189337.17",6
"ENSG00000234593.3",7
"ENSG00000171729.14",8
"ENSG00000159339.13",9
"ENSG00000117154.12",10
"ENSG00000188257.12",11
"ENSG00000127472.11",12
"ENSG00000162551.14",13
"ENSG00000142798.20",14
"ENSG00000117318.9",15
"ENSG00000169504.15",16
"ENSG00000020633.19",17
"ENSG00000131910.5",18
"ENSG00000253368.4",19
"ENSG00000142748.14",20
"ENSG00000000938.13",21
"ENSG00000130775.16",22
"ENSG00000162511.8",23
"ENSG00000162512.16",24
"ENSG00000121769.8",25
"ENSG00000134668.13",26
"ENSG00000121904.19",27
"ENSG00000119535.19",28
"ENSG00000228436.4",29
"ENSG00000158315.11",30
"ENSG00000168389.18",31
"ENSG00000272145.2",32
"ENSG00000044012.4",33
"ENSG00000142945.13",34
"ENSG00000142937.12",35
"ENSG00000117450.15",36
"ENSG00000117461.15",37
"ENSG00000162367.12",38
"ENSG00000123473.17",39
"ENSG00000223720.2",40
"ENSG00000186094.18",41
"ENSG00000229846.2",42
"ENSG00000227070.2",43
"ENSG00000227742.2",44
"ENSG00000169213.7",45
"ENSG00000203995.10",46
"ENSG00000174348.14",47
"ENSG00000162383.13",48
"ENSG00000174332.6",49
"ENSG00000058804.12",50
"ENSG00000162390.18",51
"ENSG00000234810.4",52
"ENSG00000223956.5",53
"ENSG00000162409.12",54
"ENSG00000177606.8",55
"ENSG00000237352.6",56
"ENSG00000231252.4",57
"ENSG00000185483.13",58
"ENSG00000223949.8",59
"ENSG00000158966.16",60
"ENSG00000116678.20",61
"ENSG00000184588.18",62
"ENSG00000118473.23",63
"ENSG00000116717.13",64
"ENSG00000285407.1",65
"ENSG00000033122.21",66
"ENSG00000116761.12",67
"ENSG00000050628.21",68
"ENSG00000229956.11",69
"ENSG00000172260.15",70
"ENSG00000162620.16",71
"ENSG00000137968.17",72
"ENSG00000184005.11",73
"ENSG00000162614.19",74
"ENSG00000137959.17",75
"ENSG00000162618.15",76
"ENSG00000117114.21",77
"ENSG00000234953.2",78
"ENSG00000236676.1",79
"ENSG00000233290.4",80
"ENSG00000230817.6",81
"ENSG00000203943.9",82
"ENSG00000171517.6",83
"ENSG00000153898.13",84
"ENSG00000055732.13",85
"ENSG00000142871.18",86
"ENSG00000171502.15",87
"ENSG00000237505.8",88
"ENSG00000137947.12",89
"ENSG00000117228.11",90
"ENSG00000162645.13",91
"ENSG00000023909.10",92
"ENSG00000226835.4",93
"ENSG00000117525.14",94
"ENSG00000224081.10",95
"ENSG00000224445.3",96
"ENSG00000079335.20",97
"ENSG00000228086.1",98
"ENSG00000162692.12",99
"ENSG00000271578.1",100
"ENSG00000134215.16",101
"ENSG00000162636.16",102
"ENSG00000143119.14",103
"ENSG00000231246.3",104
"ENSG00000143079.15",105
"ENSG00000231128.7",106
"ENSG00000134242.16",107
"ENSG00000116752.6",108
"ENSG00000134259.6",109
"ENSG00000163393.13",110
"ENSG00000173212.5",111
"ENSG00000163399.16",112
"ENSG00000203865.13",113
"ENSG00000116824.5",114
"ENSG00000134258.18",115
"ENSG00000183508.5",116
"ENSG00000092607.15",117
"ENSG00000116874.12",118
"ENSG00000134240.12",119
"ENSG00000227082.3",120
"ENSG00000270872.2",121
"ENSG00000265972.6",122
"ENSG00000237188.5",123
"ENSG00000131781.13",124
"ENSG00000278811.4",125
"ENSG00000197747.9",126
"ENSG00000177954.14",127
"ENSG00000160789.24",128
"ENSG00000196189.14",129
"ENSG00000132677.13",130
"ENSG00000183856.11",131
"ENSG00000143297.19",132
"ENSG00000073754.6",133
"ENSG00000183853.18",134
"ENSG00000158481.13",135
"ENSG00000163563.8",136
"ENSG00000163564.15",137
"ENSG00000163565.20",138
"ENSG00000289484.1",139
"ENSG00000132693.12",140
"ENSG00000177807.10",141
"ENSG00000234425.1",142
"ENSG00000066294.15",143
"ENSG00000117090.16",144
"ENSG00000026751.17",145
"ENSG00000122224.18",146
"ENSG00000158859.10",147
"ENSG00000158874.11",148
"ENSG00000244682.8",149
"ENSG00000198929.13",150
"ENSG00000117143.14",151
"ENSG00000117152.14",152
"ENSG00000232892.1",153
"ENSG00000185630.20",154
"ENSG00000198821.12",155
"ENSG00000198771.11",156
"ENSG00000143196.5",157
"ENSG00000007908.16",158
"ENSG00000116132.12",159
"ENSG00000231424.3",160
"ENSG00000117501.15",161
"ENSG00000007933.13",162
"ENSG00000117507.6",163
"ENSG00000283683.2",164
"ENSG00000235750.10",165
"ENSG00000116183.11",166
"ENSG00000224968.4",167
"ENSG00000075391.18",168
"ENSG00000228918.5",169
"ENSG00000135821.19",170
"ENSG00000121446.20",171
"ENSG00000143333.7",172
"ENSG00000135838.14",173
"ENSG00000135862.6",174
"ENSG00000116701.16",175
"ENSG00000143344.16",176
"ENSG00000116667.15",177
"ENSG00000135842.17",178
"ENSG00000143341.12",179
"ENSG00000116690.13",180
"ENSG00000073756.13",181
"ENSG00000116711.10",182
"ENSG00000090104.12",183
"ENSG00000127074.15",184
"ENSG00000116741.8",185
"ENSG00000227240.2",186
"ENSG00000134365.15",187
"ENSG00000066279.19",188
"ENSG00000081237.21",189
"ENSG00000229989.6",190
"ENSG00000231718.1",191
"ENSG00000118193.12",192
"ENSG00000134369.16",193
"ENSG00000231871.5",194
"ENSG00000163431.13",195
"ENSG00000163435.16",196
"ENSG00000133067.18",197
"ENSG00000133048.13",198
"ENSG00000159388.6",199
"ENSG00000163531.17",200
"ENSG00000133069.17",201
"ENSG00000163545.11",202
"ENSG00000276600.5",203
"ENSG00000285417.1",204
"ENSG00000266028.8",205
"ENSG00000162888.4",206
"ENSG00000136634.7",207
"ENSG00000237074.2",208
"ENSG00000196352.18",209
"ENSG00000203710.12",210
"ENSG00000236911.6",211
"ENSG00000197721.17",212
"ENSG00000174059.17",213
"ENSG00000123689.6",214
"ENSG00000143476.18",215
"ENSG00000162772.17",216
"ENSG00000230461.10",217
"ENSG00000283518.1",218
"ENSG00000152104.12",219
"ENSG00000117724.14",220
"ENSG00000196482.18",221
"ENSG00000092969.12",222
"ENSG00000228063.4",223
"ENSG00000257551.1",224
"ENSG00000143507.18",225
"ENSG00000236230.2",226
"ENSG00000154309.9",227
"ENSG00000226601.1",228
"ENSG00000143514.18",229
"ENSG00000154380.19",230
"ENSG00000226349.1",231
"ENSG00000183814.16",232
"ENSG00000287627.1",233
"ENSG00000143772.11",234
"ENSG00000236975.2",235
"ENSG00000162946.23",236
"ENSG00000116991.12",237
"ENSG00000135749.19",238
"ENSG00000143674.11",239
"ENSG00000183780.13",240
