"gene_id","rank"
"ENSG00000142611.17",1
"ENSG00000196581.11",2
"ENSG00000171621.14",3
"ENSG00000171612.7",4
"ENSG00000171608.18",5
"ENSG00000189337.17",6
"ENSG00000175147.13",7
"ENSG00000171729.14",8
"ENSG00000117154.12",9
"ENSG00000280222.1",10
"ENSG00000230424.3",11
"ENSG00000127472.11",12
"ENSG00000142798.20",13
"ENSG00000184454.7",14
"ENSG00000169504.15",15
"ENSG00000020633.19",16
"ENSG00000117643.15",17
"ENSG00000131910.5",18
"ENSG00000142748.14",19
"ENSG00000000938.13",20
"ENSG00000130775.16",21
"ENSG00000227050.1",22
"ENSG00000162511.8",23
"ENSG00000162512.16",24
"ENSG00000119535.19",25
"ENSG00000127124.16",26
"ENSG00000186409.19",27
"ENSG00000066056.14",28
"ENSG00000162415.7",29
"ENSG00000162367.12",30
"ENSG00000186094.18",31
"ENSG00000162383.13",32
"ENSG00000174332.6",33
"ENSG00000162390.18",34
"ENSG00000234810.4",35
"ENSG00000223956.5",36
"ENSG00000162407.9",37
"ENSG00000173406.16",38
"ENSG00000231252.4",39
"ENSG00000132854.19",40
"ENSG00000079739.17",41
"ENSG00000185483.13",42
"ENSG00000158966.16",43
"ENSG00000229294.1",44
"ENSG00000116678.20",45
"ENSG00000184588.18",46
"ENSG00000118473.23",47
"ENSG00000152763.17",48
"ENSG00000232284.9",49
"ENSG00000033122.21",50
"ENSG00000116761.12",51
"ENSG00000050628.21",52
"ENSG00000229956.11",53
"ENSG00000172260.15",54
"ENSG00000162620.16",55
"ENSG00000162623.16",56
"ENSG00000137968.17",57
"ENSG00000184005.11",58
"ENSG00000154027.19",59
"ENSG00000162614.19",60
"ENSG00000122420.10",61
"ENSG00000137959.17",62
"ENSG00000162618.15",63
"ENSG00000117114.21",64
"ENSG00000234953.2",65
"ENSG00000236676.1",66
"ENSG00000230817.6",67
"ENSG00000237076.2",68
"ENSG00000142875.20",69
"ENSG00000203943.9",70
"ENSG00000153898.13",71
"ENSG00000142867.14",72
"ENSG00000153904.21",73
"ENSG00000142871.18",74
"ENSG00000171502.15",75
"ENSG00000285210.1",76
"ENSG00000237505.8",77
"ENSG00000137947.12",78
"ENSG00000117228.11",79
"ENSG00000162669.16",80
"ENSG00000097046.13",81
"ENSG00000069702.11",82
"ENSG00000154511.12",83
"ENSG00000226835.4",84
"ENSG00000117525.14",85
"ENSG00000224081.10",86
"ENSG00000226026.7",87
"ENSG00000224445.3",88
"ENSG00000288826.1",89
"ENSG00000079335.20",90
"ENSG00000162692.12",91
"ENSG00000215869.4",92
"ENSG00000134215.16",93
"ENSG00000085433.17",94
"ENSG00000134243.12",95
"ENSG00000184371.14",96
"ENSG00000116396.15",97
"ENSG00000143119.14",98
"ENSG00000231246.3",99
"ENSG00000143079.15",100
"ENSG00000134242.16",101
"ENSG00000116752.6",102
"ENSG00000134259.6",103
"ENSG00000163393.13",104
"ENSG00000163399.16",105
"ENSG00000092607.15",106
